,feature,score
1148,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2|T",0.0
1617,value__kurtosis|T,0.0
1616,value__kurtosis|CLCT,0.0
1615,value__index_mass_quantile__q_0.9|V_10m,0.0
1614,value__index_mass_quantile__q_0.9|V_100m,0.0
1149,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2|U_100m",0.0
1613,value__index_mass_quantile__q_0.9|U_10m,0.0
1612,value__index_mass_quantile__q_0.9|U_100m,0.0
1611,value__index_mass_quantile__q_0.9|T,0.0
1610,value__index_mass_quantile__q_0.9|CLCT,0.0
1609,value__index_mass_quantile__q_0.8|V_10m,0.0
1608,value__index_mass_quantile__q_0.8|V_100m,0.0
1577,value__index_mass_quantile__q_0.2|U_10m,0.0
1576,value__index_mass_quantile__q_0.2|U_100m,0.0
1575,value__index_mass_quantile__q_0.2|T,0.0
1574,value__index_mass_quantile__q_0.2|CLCT,0.0
1539,value__friedrich_coefficients__m_3__r_30__coeff_1|CLCT,0.0
1538,value__friedrich_coefficients__m_3__r_30__coeff_0|V_10m,0.0
1537,value__friedrich_coefficients__m_3__r_30__coeff_0|V_100m,0.0
1536,value__friedrich_coefficients__m_3__r_30__coeff_0|U_10m,0.0
1535,value__friedrich_coefficients__m_3__r_30__coeff_0|U_100m,0.0
1534,value__friedrich_coefficients__m_3__r_30__coeff_0|T,0.0
1533,value__friedrich_coefficients__m_3__r_30__coeff_0|CLCT,0.0
1532,value__first_location_of_minimum|V_10m,0.0
1446,"value__fft_coefficient__coeff_6__attr_""real""|U_10m",0.0
1530,value__first_location_of_minimum|U_10m,0.0
1529,value__first_location_of_minimum|U_100m,0.0
1528,value__first_location_of_minimum|T,0.0
1527,value__first_location_of_minimum|CLCT,0.0
1526,value__first_location_of_maximum|V_10m,0.0
